Presidential_Candidate,Message,Created_Time,Type,Link,story,Likes_Count,Comments_Count,Shares_Count,Engagement
Nana Addo Dankwa Akufo-Addo,Video: Laying of wreaths at the Embassy Park Presidential Burial Site; Bilateral talks with President Edgar Lungu,2017-06-27T20:16:09+0000,video,https://www.facebook.com/nakufoaddo/videos/10155463910364836/,NA,1831,30,188,2049
Nana Addo Dankwa Akufo-Addo,NA,2017-06-27T17:46:19+0000,link,http://presidency.gov.gh/index.php/2017/06/27/continue-to-shine-the-torch-of-africa-kenneth-kaunda-to-president-akufo-addo/,Nana Addo Dankwa Akufo-Addo shared a link.,7393,62,200,7655
Nana Addo Dankwa Akufo-Addo,NA,2017-06-27T12:55:04+0000,link,http://presidency.gov.gh/index.php/2017/06/27/zambia-will-work-closely-with-you-president-lungu-to-president-akufo-addo/,Nana Addo Dankwa Akufo-Addo shared a link.,4696,35,118,4849
Nana Addo Dankwa Akufo-Addo,"I held bilateral talks with the President of the Republic of Zambia, His Excellency Edgar Lungu, this morning at the State House. The talks were aimed at deepening the bilateral ties between our two countries, as well as exploring other areas of co-operation to the mutual benefit of our two peoples.",2017-06-27T12:34:51+0000,photo,https://www.facebook.com/nakufoaddo/photos/a.10155463070694836.1073742425.7893934835/10155463076354836/?type=3,Nana Addo Dankwa Akufo-Addo added 18 new photos to the album: Bilateral talks with President Edgar Lungu.,5194,52,286,5532
Nana Addo Dankwa Akufo-Addo,"Video: Arrival in Lusaka, Zambia; interaction with the Ghanaian community",2017-06-27T12:07:18+0000,video,https://www.facebook.com/nakufoaddo/videos/10155462748629836/,NA,1878,60,350,2288
Nana Addo Dankwa Akufo-Addo,"I arrived in Zambia on Monday, June 26, at the start of a 3-day official visit to that country. 

I interacted with members of the Ghanaian community resident in Lusaka, where I reiterated, once again, my commitment to  fulfilling the pledges I made to the Ghanaian people in the run-up to the 2016 election, and, thereby, put the country onto the path of progress and prosperity.",2017-06-27T10:35:36+0000,photo,https://www.facebook.com/nakufoaddo/photos/a.10155462791809836.1073742424.7893934835/10155462792134836/?type=3,Nana Addo Dankwa Akufo-Addo added 31 new photos to the album: Arrival in Zambia; interaction with Ghanaian community.,8080,114,395,8589
Nana Addo Dankwa Akufo-Addo,NA,2017-06-26T19:30:00+0000,link,http://presidency.gov.gh/index.php/2017/06/27/participate-in-zongo-development-fund-fora-president-akufo-addo/,Nana Addo Dankwa Akufo-Addo shared a link.,5527,18,108,5653
Nana Addo Dankwa Akufo-Addo,NA,2017-06-26T14:31:35+0000,link,http://presidency.gov.gh/index.php/2017/06/26/be-wary-of-destructive-ideologues-president-akufo-addo-to-muslims/,Nana Addo Dankwa Akufo-Addo shared a link.,6654,40,104,6798
Nana Addo Dankwa Akufo-Addo,"This morning, I joined the National Chief Imam, Sheikh Dr. Osman Nuhu Sharubutu, and thousands of Muslims at the Independence Square for the Eid prayers, my first as President of the Republic.",2017-06-26T13:52:18+0000,photo,https://www.facebook.com/nakufoaddo/photos/a.10155459866269836.1073742423.7893934835/10155459895109836/?type=3,Nana Addo Dankwa Akufo-Addo added 16 new photos to the album: Eid ul-Fitr prayers at the Independence Square.,17347,240,686,18273
Nana Addo Dankwa Akufo-Addo,NA,2017-06-26T12:29:35+0000,link,http://presidency.gov.gh/index.php/2017/06/26/president-akufo-addo-visits-zambia-on-3-day-official-state-visit/,Nana Addo Dankwa Akufo-Addo shared a link.,5626,69,105,5800
Nana Addo Dankwa Akufo-Addo,"I held a brief meeting this afternoon with the acting President of Nigeria, His Excellency Prof. Yemi Osibanjo, ahead of next week's African Union Summit in Addis Ababa, Ethiopia.

Pictures by: Novo Isioro",2017-06-25T20:02:02+0000,photo,https://www.facebook.com/nakufoaddo/photos/a.10150371381059836.372175.7893934835/10155457332274836/?type=3,Nana Addo Dankwa Akufo-Addo added 3 new photos.,9292,137,353,9782
Nana Addo Dankwa Akufo-Addo,"On behalf of my wife, family and government, I wish Muslims in Ghana and around the world Eid Mubarak. 

We thank Allah for seeing us through one month of fasting, prayer and devotion. I have no doubt that after nights of intense prayer and devotion, Allah would increase his favour upon our country and, insha Allah, by the next Ramadan our country would be better than it is today.

The month of Ramadan has certainly drawn us closer to Allah than we were before. It has also taught us the virtues of prayer, patience, piety and faith. These are virtues that we need all year round. I, therefore, urge all of us to hold fast to these values and not lose them merely because we are no longer in Ramadan. 
Above all, let the spirit of friendship, brotherhood and love that characterized our activities in Ramadan continue to influence our relationship with our fellow Ghanaians. With a sense of unity of purpose, we shall realize our goals.

I wish you a happy celebration and may Allah make our nation great and strong.",2017-06-25T15:59:27+0000,status,NA,NA,4115,172,203,4490
Nana Addo Dankwa Akufo-Addo,Video: Jon Benjamin bids farewell to President Akufo-Addo,2017-06-22T22:09:02+0000,video,https://www.facebook.com/nakufoaddo/videos/10155446984154836/,NA,2620,58,308,2986
Nana Addo Dankwa Akufo-Addo,NA,2017-06-21T17:18:56+0000,link,http://presidency.gov.gh/index.php/2017/06/21/policy-interventions-lowering-cost-of-doing-business-president-akufo-addo/,Nana Addo Dankwa Akufo-Addo shared a link.,3007,51,89,3147
Nana Addo Dankwa Akufo-Addo,NA,2017-06-20T17:40:48+0000,link,http://presidency.gov.gh/index.php/2017/06/20/president-akufo-addo-swears-in-former-chief-justice-onto-council-of-state/,Nana Addo Dankwa Akufo-Addo shared a link.,3546,28,89,3663
Nana Addo Dankwa Akufo-Addo,NA,2017-06-20T16:15:47+0000,photo,https://www.facebook.com/nakufoaddo/photos/a.10155439216109836.1073742422.7893934835/10155439218529836/?type=3,Nana Addo Dankwa Akufo-Addo added 25 new photos to the album: Fmr. Chief Justice Georgina Wood becomes Council of State Member.,7093,76,411,7580
Nana Addo Dankwa Akufo-Addo,"Video: Swearing-in of the former Chief Justice, Georgina Wood, as a Member of the Council of State.",2017-06-20T15:38:10+0000,video,https://www.facebook.com/nakufoaddo/videos/10155439129884836/,NA,2681,73,656,3410
Nana Addo Dankwa Akufo-Addo,NA,2017-06-20T00:14:49+0000,photo,https://www.facebook.com/nakufoaddo/photos/a.10150633519809836.408663.7893934835/10155437280399836/?type=3,Nana Addo Dankwa Akufo-Addo updated their cover photo.,2038,56,101,2195
Nana Addo Dankwa Akufo-Addo,NA,2017-06-19T22:23:07+0000,link,http://presidency.gov.gh/index.php/2017/06/19/judiciary-must-command-respect-of-the-people-president-akufo-addo/,Nana Addo Dankwa Akufo-Addo shared a link.,2583,21,58,2662
Nana Addo Dankwa Akufo-Addo,NA,2017-06-19T22:02:01+0000,link,http://presidency.gov.gh/index.php/2017/06/19/my-govt-will-not-shield-law-breakers-president-akufo-addo/,Nana Addo Dankwa Akufo-Addo shared a link.,3190,46,98,3334
Nana Addo Dankwa Akufo-Addo,"Video: Swearing into office of the new Chief Justice of the Republic, Justice Sophia A.B. Akuffo",2017-06-19T21:15:11+0000,video,https://www.facebook.com/nakufoaddo/videos/10155436609704836/,NA,1818,52,739,2609
Nana Addo Dankwa Akufo-Addo,"This afternoon, at the Banquet Hall of the State House, I swore into office the 13th Chief Justice of the Republic, Justice Sophia Abena Boafoa Akuffo. 

I am confident that Chief Justice Sophia Akuffo will be an effective leader of the Judiciary, and will guard jealously its independence. She will bring honour to the Judiciary and to our country. In her, we have a worthy successor to Chief Justice Georgina Theodora Wood and the others who have gone before her.",2017-06-19T16:40:12+0000,photo,https://www.facebook.com/nakufoaddo/photos/a.10155436014869836.1073742421.7893934835/10155436049584836/?type=3,Nana Addo Dankwa Akufo-Addo added 81 new photos to the album: Swearing-in of Chief Justice Sophia A.B. Akuffo.,15928,382,1428,17738
Nana Addo Dankwa Akufo-Addo,NA,2017-06-19T16:38:48+0000,link,http://presidency.gov.gh/index.php/2017/06/19/chief-justice-sophia-akuffo-will-be-an-effective-leader-of-the-judiciary-president-akufo-addo/,Nana Addo Dankwa Akufo-Addo shared a link.,6006,74,183,6263
Nana Addo Dankwa Akufo-Addo,NA,2017-06-19T16:34:55+0000,link,http://presidency.gov.gh/index.php/2017/06/19/address-by-the-president-akufo-addo-at-the-swearing-into-office-of-the-chief-justice-of-the-republic-justice-sophia-akuffo/,Nana Addo Dankwa Akufo-Addo shared a link.,2273,24,75,2372
Nana Addo Dankwa Akufo-Addo,NA,2017-06-18T14:19:01+0000,link,http://presidency.gov.gh/index.php/2017/06/18/fight-against-corruption-has-to-be-won-president-akufo-addo/,Nana Addo Dankwa Akufo-Addo shared a link.,5405,121,206,5732
Nana Addo Dankwa Akufo-Addo,"Video: Remarks at the G20 Partnership for Africa Summit, Berlin, Germany.",2017-06-14T06:00:00+0000,video,https://www.facebook.com/nakufoaddo/videos/10155414998129836/,NA,1421,69,411,1901
Nana Addo Dankwa Akufo-Addo,Quotes from the #KASPresidentialLecture.,2017-06-13T17:16:51+0000,photo,https://www.facebook.com/nakufoaddo/photos/a.10150371381059836.372175.7893934835/10155415520709836/?type=3,Nana Addo Dankwa Akufo-Addo added 14 new photos.,2280,43,177,2500
Nana Addo Dankwa Akufo-Addo,NA,2017-06-13T17:05:52+0000,link,http://presidency.gov.gh/index.php/2017/06/13/speech-by-the-president-akufo-addo-on-the-theme-ghana-a-rising-star-of-africa/,Nana Addo Dankwa Akufo-Addo shared a link.,3244,43,134,3421
Nana Addo Dankwa Akufo-Addo,NA,2017-06-13T16:42:00+0000,photo,https://www.facebook.com/nakufoaddo/photos/a.10155415354754836.1073742420.7893934835/10155415355949836/?type=3,Nana Addo Dankwa Akufo-Addo added 21 new photos to the album: Speech at the Konrad-Adenauer-Stiftung in pictures.,4066,57,279,4402
Nana Addo Dankwa Akufo-Addo,NA,2017-06-13T16:41:35+0000,link,http://presidency.gov.gh/index.php/2017/06/13/ghana-is-a-land-of-opportunity-for-private-capital-president-akufo-addo/,Nana Addo Dankwa Akufo-Addo shared a link.,2706,43,133,2882
Nana Addo Dankwa Akufo-Addo,#KASPresidentialLecture,2017-06-13T16:04:53+0000,photo,https://www.facebook.com/nakufoaddo/photos/a.499066124835.277652.7893934835/10155415335339836/?type=3,NA,1715,32,97,1844
Nana Addo Dankwa Akufo-Addo,#KASPresidentialLecture,2017-06-13T14:29:10+0000,video,https://www.facebook.com/kasfb/videos/10155353357419120/,Nana Addo Dankwa Akufo-Addo shared Konrad-Adenauer-Stiftung's live video.,1035,18,0,1053
Nana Addo Dankwa Akufo-Addo,Video: Meeting with the Ghanaian community in Germany,2017-06-13T05:00:00+0000,video,https://www.facebook.com/nakufoaddo/videos/10155413047479836/,NA,1432,55,304,1791
Nana Addo Dankwa Akufo-Addo,NA,2017-06-12T18:02:33+0000,link,http://presidency.gov.gh/index.php/2017/06/12/assume-responsibility-for-your-countrys-transformation-president-akufo-addo-to-african-leaders/,Nana Addo Dankwa Akufo-Addo shared a link.,3824,48,180,4052
Nana Addo Dankwa Akufo-Addo,"This afternoon, I participated  in the G20 Partnership for Africa Summit, which is currently ongoing in Berlin, Germany, on the theme ""Investing in a common future"". 

In my address, I admonished African leaders to assume responsibility for the transformation of their economies, and depart from the mindset of aid, dependency and charity and handouts.   

If we, Africans, are to transform our stagnant, jobless economies, built on the export of raw materials and unrefined goods, to value-added economies that provide jobs, to build strong middle-class societies and lift the mass of our people out of dire poverty, then we must take our destinies into our own hands and assume responsibility for this.",2017-06-12T16:42:07+0000,photo,https://www.facebook.com/nakufoaddo/photos/a.10155412153864836.1073742419.7893934835/10155412155774836/?type=3,"Nana Addo Dankwa Akufo-Addo added 22 new photos to the album: G20 Partnership for Africa Summit, in Berlin, Germany.",4282,131,418,4831
Nana Addo Dankwa Akufo-Addo,NA,2017-06-12T08:44:18+0000,link,http://presidency.gov.gh/index.php/2017/06/12/ghana-receives-e100-million-from-germanys-compact-with-africa-programme/,Nana Addo Dankwa Akufo-Addo shared a link.,4545,79,233,4857
Nana Addo Dankwa Akufo-Addo,"This evening, I interacted with the Ghanaian community resident in Germany, where I, once again, reiterated my commitment to fulfilling the pledges I made to the Ghanaian people in the run-up to the 2016 elections. The fulfillment of these pledges will put our country onto the path of progress and prosperity.",2017-06-11T21:50:37+0000,photo,https://www.facebook.com/nakufoaddo/photos/a.10155409908839836.1073742418.7893934835/10155409909529836/?type=3,Nana Addo Dankwa Akufo-Addo added 25 new photos to the album: Interaction with the Ghanaian Community in Germany.,8488,155,407,9050
Nana Addo Dankwa Akufo-Addo,NA,2017-06-11T15:23:44+0000,link,http://presidency.gov.gh/index.php/2017/06/11/un-sustainable-development-goals-can-be-met-president-akufo-addo/,Nana Addo Dankwa Akufo-Addo shared a link.,3259,45,113,3417
Nana Addo Dankwa Akufo-Addo,"Video: Remarks at the 2017 European Development Days Conference in Brussels, Belgium.",2017-06-10T00:50:29+0000,video,https://www.facebook.com/nakufoaddo/videos/10155403857209836/,NA,1959,70,618,2647
Nana Addo Dankwa Akufo-Addo,NA,2017-06-09T12:50:17+0000,link,http://presidency.gov.gh/index.php/2017/06/09/president-akufo-addo-advocates-for-severe-sanctions-regime-for-illegal-unregulated-fishing-vessels/,Nana Addo Dankwa Akufo-Addo shared a link.,2685,41,99,2825
Nana Addo Dankwa Akufo-Addo,"The impact of climate change on the oceans is alarming, and likely to exacerbate the existing impacts of anthropogenic activities in the marine environment.

The gradual warming of our oceans and increasing acidification, and their effects on the marine environment and resources, need to be addressed through the speedy implementation of the Paris Agreement on Climate Change, which many Member States have signed and ratified, including Ghana, and which represents the blue print for global action to reverse this trend.

The recent announcement of the withdrawal of the USA from the agreement is a disturbing development, which Ghana believes, like the majority of the global community, requires urgent reconsideration by the new US administration. We have to work together to protect our planet.

#UNOceansConference2017",2017-06-08T22:14:43+0000,status,NA,NA,1210,53,73,1336
Nana Addo Dankwa Akufo-Addo,President Akufo-Addo Meets The Ghanaian Community in Belgium,2017-06-08T19:45:34+0000,video,https://www.facebook.com/nakufoaddo/videos/10155400123364836/,NA,1404,37,292,1733
Nana Addo Dankwa Akufo-Addo,"Video: Meeting with the Ghanaian Community in Brussels, Belgium",2017-06-08T11:49:16+0000,video,https://www.facebook.com/nakufoaddo/videos/10155398988129836/,NA,1451,42,317,1810
Nana Addo Dankwa Akufo-Addo,NA,2017-06-07T14:30:46+0000,link,http://presidency.gov.gh/index.php/2017/06/07/i-want-to-build-the-most-business-friendly-economy-in-africa-president-akufo-addo/,Nana Addo Dankwa Akufo-Addo shared a link.,7356,98,266,7720
Nana Addo Dankwa Akufo-Addo,"Prior to the opening ceremony of the 2017 European Development Days conference, I held informal discussions on the sidelines with the Queen of Belgium, Queen Mathilde; and Norwegian Prime Minister, Erna Solberg.",2017-06-07T14:29:57+0000,photo,https://www.facebook.com/nakufoaddo/photos/a.10150371381059836.372175.7893934835/10155396073979836/?type=3,Nana Addo Dankwa Akufo-Addo added 3 new photos.,5394,77,308,5779
Nana Addo Dankwa Akufo-Addo,President Akufo- Addo mourns the late Capt .Mahama,2017-06-07T13:05:09+0000,video,https://www.facebook.com/nakufoaddo/videos/10155395559949836/,NA,1752,45,305,2102
Nana Addo Dankwa Akufo-Addo,NA,2017-06-07T08:24:03+0000,link,http://presidency.gov.gh/index.php/2017/06/07/free-shs-a-development-tool-for-ghana-president-akufo-addo/,Nana Addo Dankwa Akufo-Addo shared a link.,3617,53,114,3784
Nana Addo Dankwa Akufo-Addo,"I addressed the Ghanaian community resident in Belgium, on Tuesday, June 6, as part of my visit to that country, ahead of the conduct of the meetings of the United Nation’s Sustainable Development Goals Advocates Group of Eminent Personalities.",2017-06-07T00:02:43+0000,photo,https://www.facebook.com/nakufoaddo/photos/a.10155394433994836.1073742417.7893934835/10155394434774836/?type=3,Nana Addo Dankwa Akufo-Addo added 10 new photos to the album: Meeting with the Ghanaian Community in Belgium.,3694,59,234,3987
Nana Addo Dankwa Akufo-Addo,NA,2017-06-06T07:18:14+0000,link,http://presidency.gov.gh/index.php/2017/06/06/president-akufo-addo-attends-un-sdgs-meetings-g-20-africa-partnership-summit/,Nana Addo Dankwa Akufo-Addo shared a link.,3018,53,91,3162
Nana Addo Dankwa Akufo-Addo,NA,2017-06-05T23:50:25+0000,photo,https://www.facebook.com/nakufoaddo/photos/a.10155390684459836.1073742416.7893934835/10155390686909836/?type=3,Nana Addo Dankwa Akufo-Addo added 16 new photos to the album: Visit to the family of the late Major Maxwell Adam Mahama.,16653,413,1277,18343
Nana Addo Dankwa Akufo-Addo,NA,2017-06-05T23:00:00+0000,link,http://presidency.gov.gh/index.php/2017/06/06/late-capt-mahama-to-be-given-state-burial-govt-sets-up-gh500000-memorial-trust-fund/,Nana Addo Dankwa Akufo-Addo shared a link.,16633,266,644,17543
Nana Addo Dankwa Akufo-Addo,NA,2017-06-05T14:24:44+0000,photo,https://www.facebook.com/nakufoaddo/photos/a.10155389004304836.1073742415.7893934835/10155389004609836/?type=3,"Nana Addo Dankwa Akufo-Addo added 9 new photos to the album: Pictures from the 51st ECOWAS Summit, in Liberia.",3406,47,204,3657
Nana Addo Dankwa Akufo-Addo,NA,2017-06-05T11:53:56+0000,photo,https://www.facebook.com/nakufoaddo/photos/a.499066124835.277652.7893934835/10155388628289836/?type=3,Nana Addo Dankwa Akufo-Addo added a new photo.,1944,37,113,2094
Nana Addo Dankwa Akufo-Addo,"The very best of luck to the 468,053 students sitting this year's BECE, beginning today. Free SHS awaits you in September 2017. Seize this opportunity with both hands and open the door to your own and Ghana’s bright future.",2017-06-05T09:51:20+0000,status,NA,NA,6047,211,461,6719
Nana Addo Dankwa Akufo-Addo,NA,2017-06-04T08:57:37+0000,link,http://presidency.gov.gh/index.php/2017/06/04/president-akufo-addo-to-participate-in-ecowas-summit/,Nana Addo Dankwa Akufo-Addo shared a link.,3741,50,81,3872
Nana Addo Dankwa Akufo-Addo,"On Friday, June 2, I presented letters of credence to eight (8) Ghanaian Ambassadors. They are (1) Papa Owusu, Ghana's High Commissioner to the United Kingdom; (2) Dr. Adjei Barwuah, Ghana’s Ambassador to the United States of America; (3) Ms Anna Bossman, Ghana's Ambassador to France; (4) Mrs Gina Blay, Ghana's Ambassador to Germany; (5) Frederick Daniel Laryea, Ghana's Ambassador to Cote d’Ivoire; (6) Stephen Mahamudu Yakubu, Ghana's Ambassador to the Kingdom of Morocco; (7) Alhaji Rashid Bawa, Ghana’s High Commissioner to Nigeria; and (8)  Edward Boateng, Ghana's Ambassador to China.

I congratulate each one of them warmly on their well-deserved appointment. They are eminently fit to represent Ghana in their respective places of accreditation, which have expressed satisfaction at their appointments.",2017-06-02T23:02:23+0000,photo,https://www.facebook.com/nakufoaddo/photos/a.10155379827754836.1073742414.7893934835/10155379828239836/?type=3,Nana Addo Dankwa Akufo-Addo added 19 new photos to the album: Presentation of credentials to 8 Ghanaian Ambassadors.,4167,177,355,4699
Nana Addo Dankwa Akufo-Addo,NA,2017-06-02T22:49:37+0000,photo,https://www.facebook.com/nakufoaddo/photos/a.10155379780119836.1073742413.7893934835/10155379780604836/?type=3,Nana Addo Dankwa Akufo-Addo added 17 new photos to the album: Presentation of credentials by 6 Ambassadors to Ghana.,2907,31,136,3074
Nana Addo Dankwa Akufo-Addo,President Akufo-Addo speaks on the killing of Capt. Maxwell Adam Mahama; suspension of Denkyira-Obuasi DCE,2017-06-01T17:13:23+0000,video,https://www.facebook.com/nakufoaddo/videos/10155375723874836/,NA,4549,210,1114,5873
Nana Addo Dankwa Akufo-Addo,Video: Speech at the 2017 World Bank Development Finance Forum,2017-05-31T13:21:48+0000,video,https://www.facebook.com/nakufoaddo/videos/10155371914129836/,NA,1027,33,198,1258
Nana Addo Dankwa Akufo-Addo,NA,2017-05-31T12:18:56+0000,link,http://presidency.gov.gh/index.php/2017/05/31/ghana-on-a-path-of-fiscal-consolidation-debt-sustainability-and-growth-president-akufo-addo/,Nana Addo Dankwa Akufo-Addo shared a link.,2130,32,57,2219
Nana Addo Dankwa Akufo-Addo,NA,2017-05-31T10:30:06+0000,link,http://presidency.gov.gh/index.php/2017/05/31/4671/,Nana Addo Dankwa Akufo-Addo shared a link.,2623,54,66,2743
Nana Addo Dankwa Akufo-Addo,"On Tuesday, May 30, I ended the third phase of my tour of the ECOWAS countries with a day’s working visit to the Republic of Niger.

At a meeting with Nigerien President, His Excellency Issoufou Mahamadou, we pledged to strengthen the ties of co-operation that exist between our two countries, and hold this year in Ghana, for the first time in 31 years, a Permanent Joint Commission on Co-operation to serve as the legal framework to address our trade and investment concerns.",2017-05-31T01:26:07+0000,photo,https://www.facebook.com/nakufoaddo/photos/a.10155370338734836.1073742412.7893934835/10155370342629836/?type=3,Nana Addo Dankwa Akufo-Addo added 16 new photos to the album: Tour of ECOWAS Countries: Visit to the Republic of Niger.,2054,65,168,2287
Nana Addo Dankwa Akufo-Addo,My condolences to the family of Capt Mahama on their tragic loss. I assure them that the perpetrators of this heinous crime will be arrested and dealt with in accordance with the laws of our country. No one involved in his murder will go free.,2017-05-30T13:45:29+0000,status,NA,NA,8618,724,938,10280
Nana Addo Dankwa Akufo-Addo,NA,2017-05-30T10:00:00+0000,link,http://presidency.gov.gh/index.php/2017/05/30/west-african-integration-in-ghanas-economic-interest-president-akufo-addo/,Nana Addo Dankwa Akufo-Addo shared a link.,1838,39,51,1928
Nana Addo Dankwa Akufo-Addo,NA,2017-05-29T14:54:55+0000,link,http://presidency.gov.gh/index.php/2017/05/29/ghana-mali-pledge-to-strengthen-bilateral-relations/,Nana Addo Dankwa Akufo-Addo shared a link.,2689,60,69,2818
Nana Addo Dankwa Akufo-Addo,NA,2017-05-29T14:21:42+0000,photo,https://www.facebook.com/nakufoaddo/photos/a.10155365345284836.1073742411.7893934835/10155365347194836/?type=3,Nana Addo Dankwa Akufo-Addo added 17 new photos to the album: Official working visit to the Republic of Mali.,3503,85,253,3841
Nana Addo Dankwa Akufo-Addo,"Video: Arrival in Monrovia, Liberia",2017-05-28T23:57:10+0000,video,https://www.facebook.com/nakufoaddo/videos/10155363506089836/,NA,1913,45,329,2287
Nana Addo Dankwa Akufo-Addo,The very best of luck to the Black Starlets in today's U-17 final match against Mali. You can do it. Go for gold!!,2017-05-28T09:23:28+0000,status,NA,NA,3171,94,108,3373
Nana Addo Dankwa Akufo-Addo,NA,2017-05-27T12:40:16+0000,link,http://presidency.gov.gh/index.php/2017/05/27/you-are-truly-a-historic-figure-president-akufo-addo-to-president-johnson-sirleaf/,Nana Addo Dankwa Akufo-Addo shared a link.,5070,53,128,5251
Nana Addo Dankwa Akufo-Addo,NA,2017-05-27T12:00:00+0000,link,http://presidency.gov.gh/index.php/2017/05/27/president-akufo-addos-ramadan-message-to-muslims/,Nana Addo Dankwa Akufo-Addo shared a link.,4735,58,132,4925
Nana Addo Dankwa Akufo-Addo,"I send fraternal greetings to Muslims in Ghana and around the world on the occasion of the Ramadan fast. 

The month of Ramadan is that in which the Qur'an was revealed and which has been instituted for Muslims to dedicate themselves to God and to the service of humankind. It is a month of intense devotion and commitment to the principles of love, sacrifice and dedication to duty.

I pray that in this month and beyond, we strive to live by these values, so that, even beyond Ramadan, we continue to commit ourselves to the good of humankind and our fellow Ghanaians. We have an opportunity to realize our potential as the Black Star of Africa, and it is my belief that the principles that Ramadan seeks to inculcate in Muslims are important for realizing this objective.

Once again, I wish all Muslims the best of the month. May the Almighty Allah bless us all, and make our nation great and strong.",2017-05-27T10:42:46+0000,status,NA,NA,1793,68,98,1959
Nana Addo Dankwa Akufo-Addo,"I arrived in Liberia on Friday, May 26, for the commencement of a 2-day visit to that country, as part of my tour of the countries of ECOWAS.",2017-05-27T08:53:00+0000,photo,https://www.facebook.com/nakufoaddo/photos/a.10155358418054836.1073742410.7893934835/10155358424849836/?type=3,Nana Addo Dankwa Akufo-Addo added 31 new photos to the album: Arrival in Liberia for 2-day visit.,6248,121,371,6740
Nana Addo Dankwa Akufo-Addo,NA,2017-05-26T18:13:26+0000,photo,https://www.facebook.com/nakufoaddo/photos/a.10155356623239836.1073742409.7893934835/10155356623459836/?type=3,Nana Addo Dankwa Akufo-Addo added 20 new photos to the album: Presentation of Colours to the Armoured Reconnaissance Regiment.,2526,35,174,2735
Nana Addo Dankwa Akufo-Addo,NA,2017-05-26T12:13:06+0000,link,http://presidency.gov.gh/index.php/2017/05/26/you-are-the-salt-of-the-earth-president-akufo-addo-to-armed-forces/,Nana Addo Dankwa Akufo-Addo shared a link.,5752,59,199,6010
Nana Addo Dankwa Akufo-Addo,NA,2017-05-25T18:07:16+0000,link,http://presidency.gov.gh/index.php/2017/05/25/i-will-not-shield-any-corrupt-public-official-president-akufo-addo/,Nana Addo Dankwa Akufo-Addo shared a link.,4758,122,249,5129
